SessionName,Subject,Path,Strain,GeneticLine,Behavior,numCells,brainRegions,Project
fsub2_110223_sess3,fsub2,fsub2\fsub2_110223_sess3,c57b1/6,wild type,open field,60,VISp pSUB DG,SubiculumProject
fsub2_130223_sess4,fsub2,fsub2\fsub2_130223_sess4,c57b1/6,wild type,open field,54,SUBsp VISp DG,SubiculumProject
fsub2_140223_sess5,fsub2,fsub2\fsub2_140223_sess5,c57b1/6,wild type,open field,61,pSUB VISp DG,SubiculumProject
fsub2_150223_sess6,fsub2,fsub2\fsub2_150223_sess6,c57b1/6,wild type,open field,113,VISp SUBsp DG,SubiculumProject
fsub2_160223_sess7,fsub2,fsub2\fsub2_160223_sess7,c57b1/6,wild type,open field,111,SUBsp VISp DG,SubiculumProject
fsub2_170223_sess8,fsub2,fsub2\fsub2_170223_sess8,c57b1/6,wild type,open field,73,VISp pSUB DG,SubiculumProject
fsub1_120223_sess34,fsub1,fsub1\fsub1_120223_sess34,c57b1/6,wild type,open field,30,pSUB VISp DG,SubiculumProject
fsub1_130223_sess35,fsub1,fsub1\fsub1_130223_sess35,c57b1/6,wild type,open field,42,VISp disSUBsp DG,SubiculumProject
fsub1_140223_sess36,fsub1,fsub1\fsub1_140223_sess36,c57b1/6,wild type,open field,47,VISp disSUB pSUBsp DG,SubiculumProject
fsub1_070223_sess29,fsub1,fsub1\fsub1_070223_sess29,c57b1/6,wild type,open field,51,VISp disSUB pSUBsp DG SUBsp,SubiculumProject
fsub1_171122_sess6,fsub1,fsub1\fsub1_171122_sess6,c57b1/6,wild type,tmaze,105,VISp SUBsp DG,SubiculumProject
fsub1_181122_sess7,fsub1,fsub1\fsub1_181122_sess7,c57b1/6,wild type,tmaze,102,VISp pSUB DG,SubiculumProject
fsub1_100223_sess32,fsub1,fsub1\fsub1_100223_sess32,c57b1/6,wild type,open field,74,pSUB disSUB SUBsp VISp DG,SubiculumProject
fsub1_110223_sess33,fsub1,fsub1\fsub1_110223_sess33,c57b1/6,wild type,open field,52,pSUB VISp DG,SubiculumProject
fsub2_210423_sess14,fsub2,fsub2\fsub2_210423_sess14,c57b1/6,wild type,open field,57,SUBsp VISp DG,SubiculumProject
fsub2_250423_sess15,fsub2,fsub2\fsub2_250423_sess15,c57b1/6,wild type,open field,54,SUBsp VISp DG,SubiculumProject
fsub2_210223_sess9,fsub2,fsub2\fsub2_210223_sess9,c57b1/6,wild type,linear track,66,VISp SUBsp DG,SubiculumProject
fsub1_160223_sess38,fsub1,fsub1\fsub1_160223_sess38,c57b1/6,wild type,lineartrack,32,pSUBsp VISp DG,SubiculumProject
fsub2_040523_sess19,fsub2,fsub2\fsub2_040523_sess19,c57b1/6,wild type,1m open field,44,SUBsp VISp DG,SubiculumProject
fsub2_260423_sess16,fsub2,fsub2\fsub2_260423_sess16,c57b1/6,wild type,open field,55,SUBsp VISp DG,SubiculumProject
fsub2_270423_sess17,fsub2,fsub2\fsub2_270423_sess17,c57b1/6,wild type,open field,53,SUBsp VISp DG,SubiculumProject
fsub1_291122_sess14,fsub1,fsub1\fsub1_291122_sess14,c57b1/6,wild type,tmaze,115,VISp SUBsp DG,SubiculumProject
fsub1_011222_sess16,fsub1,fsub1\fsub1_011222_sess16,c57b1/6,wild type,tmaze,121,VISp SUBsp DG,SubiculumProject
fsub1_211222_sess23,fsub1,fsub1\fsub1_211222_sess23,c57b1/6,wild type,tmaze,59,SUBsp VISp DG,SubiculumProject
fsub1_231222_sess25,fsub1,fsub1\fsub1_231222_sess25,c57b1/6,wild type,tmaze,64,VISp SUBsp DG,SubiculumProject
fsub1_271222_sess27,fsub1,fsub1\fsub1_271222_sess27,c57b1/6,wild type,tmaze,52,SUBsp VISp DG,SubiculumProject
fsub2_280423_sess18,fsub2,fsub2\fsub2_280423_sess18,c57b1/6,wild type,open field,63,SUBsp VISp DG,SubiculumProject
fsub1_211122_sess8,fsub1,fsub1\fsub1_211122_sess8,c57b1/6,wild type,tmaze,123,SUBsp VISp DG,SubiculumProject
fsub2_050523_sess20,fsub2,fsub2\fsub2_050523_sess20,c57b1/6,wild type,open field 1m open field open field,40,SUBsp DG VISp,SubiculumProject
fsub2_090523_sess21,fsub2,fsub2\fsub2_090523_sess21,c57b1/6,wild type,open field,52,SUBsp VISp DG,SubiculumProject
fsub2_220223_sess10,fsub2,fsub2\fsub2_220223_sess10,c57b1/6,wild type,linear track,75,VISp SUBsp DG,SubiculumProject
fsub2_230223_sess11,fsub2,fsub2\fsub2_230223_sess11,c57b1/6,wild type,linear track,50,VISp SUBsp DG,SubiculumProject
fsub2_200423_sess13,fsub2,fsub2\fsub2_200423_sess13,c57b1/6,wild type,open field,31,VISp SUBsp DG,SubiculumProject
fsub1_080223_sess30,fsub1,fsub1\fsub1_080223_sess30,c57b1/6,wild type,open field open field,53,SUBsp VISp DG,SubiculumProject
fsub2_100523_sess22,fsub2,fsub2\fsub2_100523_sess22,c57b1/6,wild type,open field,51,SUBsp VISp DG,SubiculumProject
fsub2_110523_sess23,fsub2,fsub2\fsub2_110523_sess23,c57b1/6,wild type,open field 1m open field open field,43,SUBsp VISp DG,SubiculumProject
fsub1_161222_sess22,fsub1,fsub1\fsub1_161222_sess22,c57b1/6,wild type,open field tmaze,57,SUBsp VISp DG,SubiculumProject
fsub1_121222_sess18,fsub1,fsub1\fsub1_121222_sess18,c57b1/6,wild type,open field,137,disSUBsp disSUBsr disSUBm DG VISp,SubiculumProject
fsub1_170223_sess39,fsub1,fsub1\fsub1_170223_sess39,c57b1/6,wild type,linear track,10,SUBsp DG,SubiculumProject
fsub2_190423_sess12,fsub2,fsub2\fsub2_190423_sess12,c57b1/6,wild type,open field,80,SUBsp VISp DG,SubiculumProject
fsub1_221122_sess9,fsub1,fsub1\fsub1_221122_sess9,c57b1/6,wild type,tmaze,96,SUBsp VISp DG,SubiculumProject
fsub1_021222_sess17,fsub1,fsub1\fsub1_021222_sess17,c57b1/6,wild type,tmaze open field,86,VISp DG pSUBsp,SubiculumProject
fsub1_161122_sess5,fsub1,fsub1\fsub1_161122_sess5,c57b1/6,wild type,tmaze,129,SUBsp VISp DG,SubiculumProject
